time	DATEDIFF(DATE(time), '2007-12-31 00:00:00')	COUNT(*)
2009-01-30 10:08:22	396	78
2009-02-02 16:45:33	399	212
2009-02-03 10:10:20	400	170
2009-02-04 14:24:25	401	24
2009-02-05 15:06:23	402	184
2009-02-06 13:04:29	403	118
2009-02-09 15:11:35	406	190
2009-02-10 09:03:38	407	126
2009-02-11 13:06:23	408	38
2009-02-12 15:54:34	409	50
2009-02-13 14:04:10	410	64
2009-02-15 13:58:44	412	9
2009-02-16 19:04:42	413	3
2009-02-17 15:01:40	414	32
2009-02-18 13:51:05	415	35
2009-02-19 16:44:54	416	72
2009-02-20 13:13:17	417	48
2009-02-22 16:32:33	419	1
2009-02-23 15:23:27	420	111
2009-02-24 13:01:47	421	76
2009-02-25 13:20:29	422	45
2009-02-26 15:12:25	423	86
2009-02-27 10:25:14	424	45
2009-03-03 13:03:42	428	92
2009-03-04 13:00:08	429	53
2009-03-05 17:02:12	430	31
2009-03-06 13:08:30	431	53
2009-03-08 11:32:43	433	16
2009-03-09 15:19:26	434	68
2009-03-10 13:03:20	435	88
2009-03-11 14:38:07	436	67
2009-03-12 00:09:11	437	52
2009-03-13 13:01:16	438	50
2009-03-19 21:37:07	444	2
2009-03-22 22:04:45	447	5
2009-03-23 17:00:35	448	45
2009-03-24 14:02:04	449	59
2009-03-25 14:30:33	450	53
2009-03-26 15:38:25	451	61
2009-03-27 15:06:38	452	51
2009-03-30 15:09:08	455	79
2009-03-31 10:07:24	456	42
2009-04-01 10:16:46	457	12
2009-04-02 15:08:52	458	60
2009-04-03 13:27:37	459	35
2009-04-06 16:48:22	462	37
2009-04-07 10:10:56	463	41
2009-04-08 16:08:33	464	13
2009-04-09 15:13:16	465	70
2009-04-10 13:09:20	466	31
2009-04-13 16:47:33	469	41
2009-04-14 17:52:06	470	38
2009-04-15 21:45:25	471	21
2009-04-16 00:05:19	472	62
2009-04-17 11:12:40	473	34
2009-04-21 10:17:37	477	77
2009-04-22 13:02:52	478	19
2009-04-23 16:31:48	479	61
2009-04-24 11:12:11	480	15
2009-04-26 15:36:11	482	7
2009-04-27 15:14:20	483	71
2009-04-28 13:31:03	484	29
2009-04-29 21:38:14	485	28
2009-04-30 12:16:36	486	25
2009-05-04 21:35:34	490	20
2009-05-06 12:04:16	492	14
