time	DATEDIFF(DATE(time), '2007-12-31 00:00:00')	COUNT(*)
2008-01-24 23:59:50	24	14
2008-01-25 23:41:02	25	40
2008-01-27 19:27:16	27	7
2008-01-28 17:35:16	28	15
2008-01-29 18:28:13	29	13
2008-01-30 09:46:11	30	1
2008-01-31 19:04:12	31	4
2008-02-01 09:22:38	32	2
2008-02-02 15:42:52	33	1
2008-02-03 22:33:37	34	3
2008-02-06 22:17:52	37	2
2008-02-16 14:13:35	47	1
2008-02-29 18:33:08	60	4
2008-03-01 17:05:50	61	70
2008-03-02 00:04:20	62	83
2008-03-03 00:45:12	63	104
2008-03-04 00:06:41	64	140
2008-03-05 00:11:27	65	138
2008-03-06 23:57:03	66	115
2008-03-07 16:41:29	67	97
2008-03-08 02:43:19	68	68
2008-03-09 00:11:10	69	224
2008-03-10 00:01:08	70	202
2008-03-11 23:38:41	71	148
2008-03-12 00:01:07	72	178
2008-03-13 00:12:39	73	118
2008-03-14 00:00:47	74	57
2008-03-15 00:26:14	75	27
2008-03-16 00:01:05	76	44
2008-03-17 00:40:53	77	31
2008-03-18 00:15:34	78	40
2008-03-19 00:08:25	79	8
2008-03-20 16:55:02	80	2
2008-03-21 10:07:41	81	3
2008-03-22 00:23:15	82	1
2008-03-23 02:14:06	83	47
2008-03-24 00:39:42	84	92
2008-03-25 00:20:04	85	80
2008-03-26 00:02:40	86	60
2008-03-27 00:06:23	87	101
2008-03-28 17:23:29	88	76
2008-03-29 01:05:16	89	80
2008-03-30 00:21:37	90	53
2008-03-31 00:24:13	91	62
2008-04-01 00:21:33	92	53
2008-04-02 00:05:26	93	36
2008-04-03 00:41:16	94	59
2008-04-04 00:52:18	95	49
2008-04-05 01:49:43	96	24
2008-04-06 02:23:18	97	45
2008-04-07 21:01:58	98	294
2008-04-08 00:05:36	99	211
2008-04-09 00:24:27	100	130
2008-04-10 00:00:49	101	156
2008-04-11 00:10:57	102	91
2008-04-12 00:24:39	103	61
2008-04-13 01:02:45	104	86
2008-04-14 00:11:59	105	101
2008-04-15 11:39:00	106	76
2008-04-16 00:30:38	107	68
2008-04-17 00:03:49	108	59
2008-04-18 00:13:44	109	28
2008-04-19 00:06:26	110	15
2008-04-20 01:35:38	111	19
2008-04-21 01:20:31	112	37
2008-04-22 00:02:17	113	45
2008-04-23 00:04:25	114	58
2008-04-24 00:14:19	115	34
2008-04-25 00:01:30	116	46
2008-04-26 07:59:49	117	23
2008-04-27 08:37:15	118	42
2008-04-28 00:18:38	119	31
2008-04-29 00:09:46	120	64
2008-04-30 00:03:47	121	64
2008-05-01 00:11:38	122	23
2008-05-02 12:40:38	123	27
2008-05-03 00:36:14	124	28
2008-05-04 09:59:09	125	28
2008-05-05 09:11:00	126	25
2008-05-06 00:14:18	127	30
2008-05-07 00:34:55	128	38
2008-05-08 00:15:36	129	31
2008-05-09 00:45:34	130	16
2008-05-10 00:55:33	131	11
2008-05-11 02:43:07	132	28
2008-05-12 00:44:34	133	12
2008-05-13 01:26:46	134	11
2008-05-14 02:54:04	135	13
2008-05-15 01:37:57	136	11
2008-05-16 00:43:50	137	6
2008-05-17 04:18:15	138	4
2008-05-18 00:15:10	139	4
2008-05-21 13:35:54	142	1
2008-06-01 23:28:46	153	1
2008-06-02 00:13:05	154	6
2008-06-03 08:51:58	155	6
2008-06-04 10:17:41	156	3
2008-06-05 01:15:53	157	5
2008-06-06 00:32:06	158	3
2008-06-07 01:33:04	159	3
2008-06-10 11:06:56	162	1
2008-06-11 10:03:24	163	1
2008-06-16 00:36:22	168	5
2008-06-17 01:19:32	169	6
2008-06-19 13:07:42	171	1
2008-06-20 00:18:18	172	1
2008-06-24 11:27:05	176	2
2008-06-25 10:46:35	177	1
2008-07-01 11:34:31	183	1
2008-07-03 19:22:16	185	3
2008-07-06 21:16:48	188	1
2008-07-07 15:32:50	189	1
2008-07-08 13:38:15	190	1
2008-07-09 10:47:41	191	1
