username	placename
aolsen	WH20,in,north wing
aolsen	WH40,in,rm02
aolsen	WH40,in,rm402
aolsen	WH40,in,rm409
aolsen	WH40,in,rm423
apethan	AC20,in,rm204
apethan	AC20,in,rm213
apethan	CC10,in,tables
apethan	EH10,in,111 Kitchen
apethan	EH10,in,lounge
apethan	EH10,in,rm120
apikler	AC10,in,rm126
apikler	WH20,in,rm225
apikler	WH30,in,lounge
apradhan	AC20,in,rm218
apradhan	AC30,in,rm304
apradhan	AC30,in,rm309
apradhan	AC30,out,rm309
apradhan	EH30,in,rm313
apradhan	EH30,in,rm316
apradhan	EH30,in,rm316c
apradhan	EH30,in,rm317
apradhan	EH40,in,NorthTeamrm
apradhan	EH40,in,rm421
arash	AC20,in,rm204
arash	AC20,out,hallway
arash	AC30,in,rm328
arash	WH20,in,rm207
astocks	AC10,in,rm126
astocks	AC20,in,rm206
astocks	AC30,in,rm326
astocks	AC40,in,rm413
astocks	CC20,in,rm214
astocks	OC00,in,Computer Lab
astocks	WH20,in,antelounge
astocks	WH20,in,lounge
astocks	WH20,in,rm207
astocks	WH20,in,rm209
astocks	WH20,in,rm227
astocks	WH30,in,antelounge
astocks	WH30,in,lounge
astocks	WH30,in,rm313
astocks	WH30,in,rm314
astocks	WH30,in,rm315
aushani	AC10,in,rm109
aushani	AC10,in,rm126
aushani	AC20,in,rm208
aushani	AC30,in,rm318
aushani	AC30,in,rm326
aushani	AC30,in,rm328
aushani	AC40,in,rm409
aushani	AC40,in,rm413
aushani	CC10,in,cookies
aushani	CC10,in,tables
aushani	CC20,in,Dining Hall Mezzanine
aushani	OC00,in,rm10 (IT Helpdesk)
aushani	WH10,in,Kitchen
aushani	WH10,in,lounge
aushani	WH20,in,antelounge
aushani	WH20,in,lounge
aushani	WH20,in,Nook
aushani	WH20,in,north wing
aushani	WH20,in,North Wing Nook
aushani	WH20,in,rm207
aushani	WH20,out,North Wing Nook
aushani	WH30,in,antelounge
aushani	WH30,in,rm302
aushani	WH30,in,rm309
aushani	WH30,in,rm323
aushani	WH30,in,rm325
auttamchandani	AC20,in,Gill\\'s Lab
auttamchandani	AC20,in,rm209
auttamchandani	AC20,in,rm218
auttamchandani	AC30,in,rm304
auttamchandani	CC10,in,computer bar
auttamchandani	CC10,in,dininghall
auttamchandani	WH30,in,antelounge
auttamchandani	WH30,in,lounge
auttamchandani	WH30,in,rm324
avinash	CC10,in,cookies
avinash	WH30,in,lounge
aweis	AC30,in,rm304
aweis	EH20,in,rm206 Lounge
aweis	EH30,in,rm301
aweis	OC00,in,auditorium
awu	AC10,in,rm109
awu	AC10,in,rm126
awu	AC20,in,rm213
awu	AC20,in,rm226 SCOPE Lab
awu	AC30,in,rm306
awu	AC30,in,rm309
awu	AC30,in,rm328
awu	EH40,in,rm418
awu	OC00,in,auditorium
awu	WH30,in,antelounge
awu	WH40,in,lounge
awu	WH40,in,rm412
awu	WH40,in,rm418
awu	WH40,out,westwing
b	EH40,in,rm428
b	WH10,out,westwing
bcharles	AC10,in,rm128
bcharles	AC30,in,rm318
bcharles	AC30,in,rm328
bcharles	AC30,out,rm309
bcharles	AC40,in,rm407(Joanne\\'soffice)
bcharles	EH10,out,Outside EH front doors.
bcharles	EH40,in,rm406B
bcharles	EH40,in,rm406D
bcharles	EH40,in,rm406F
bcharles	EH40,in,rm422
bcharles	OC00,in,auditorium
bdieseldorff	AC10,in,rm113
bdieseldorff	AC30,in,rm304
bdieseldorff	AC30,in,rm318
bdieseldorff	AC30,in,rm328
bdieseldorff	EH10,in,121 Team
bdieseldorff	EH10,in,lounge
bdieseldorff	EH20,in,rm206 Lounge
bdieseldorff	EH20,in,rm206F
bdieseldorff	EH20,in,rm228A
bdieseldorff	EH30,in,306 lounge
bdieseldorff	EH30,in,lounge
bdieseldorff	EH30,in,rm301
bdieseldorff	EH30,in,rm303
bdieseldorff	EH30,in,rm307
bdieseldorff	OC30,in,rm332
bdieseldorff	WH10,in,lounge
bdieseldorff	WH10,in,rm118
bdieseldorff	WH30,in,lounge
bfisher	AC20,in,rm204
bfisher	AC20,in,rm206
bfisher	AC20,in,rm213
bfisher	AC40,in,rm413
bfisher	AC40,out,End
bfisher	WH30,in,rm309
bfisher	WH30,in,rm312
bfisher	WH40,in,antelounge
bradleypowers	AC30,in,rm309
bradleypowers	AC30,in,rm328
bradleypowers	EH10,in,lounge
bradleypowers	EH10,in,rm101teamrm
bradleypowers	EH10,in,rm115
bradleypowers	EH10,in,rm117
bradpowers	AC30,in,rm328
bradpowers	EH10,in,rm115
bsmall	AC20,in,rm206
bsmall	AC30,in,rm328
bsmall	CC10,in,computer bar
bsmall	CC10,in,tables
bsmall	EH10,in,121 Team
bsmall	EH20,in,221teamrm
bsmall	OC30,in,Faculty Lobby
bsmall	WH10,in,North Nook
bsmall	WH40,in,rm429
btaratutin	OC10,in,library
btaratutin	WH20,in,lounge
btaratutin	WH30,in,rm302
btaratutin	WH30,in,rm303
cfitzhugh	AC10,in,rm109
cfitzhugh	AC10,in,rm126
cfitzhugh	AC20,in,rm206
cfitzhugh	AC20,in,rm209
cfitzhugh	AC20,in,rm213
cfitzhugh	CC10,in,cookies
cfitzhugh	CC10,in,dininghall
cfitzhugh	WH10,in,lounge
cfitzhugh	WH20,in,antelounge
cfitzhugh	WH20,in,lounge
cfitzhugh	WH20,in,Nook
cfitzhugh	WH30,in,antelounge
cfitzhugh	WH30,in,lounge
cfitzhugh	WH30,in,rm327
cfitzhugh	WH30,out,northwing
chicks	WH30,in,rm327
Chris Marra	AC10,in,rm126
Chris Marra	AC20,in,rm213
Chris Marra	OC10,in,library
cmarra	AC20,in,rm204
cmarra	AC20,in,rm218
cmarra	WH20,in,antelounge
cmarra	WH20,in,lounge
cmarra	WH20,in,Nook
cmarra	WH20,in,rm201
cmarra	WH20,in,rm224
cmarra	WH30,in,rm313
cmcleod	AC20,in,rm218
cmcleod	AC30,in,rm309
cmcleod	AC30,in,rm326
cmcleod	AC40,in,rm404
cmcleod	AC40,in,rm413
cmcleod	AC40,out,rm409
cmcleod	EH40,in,rm405
cmcleod	OC00,in,Library
cmcleod	WH30,in,rm309
cmcleod	WH30,in,rm313
cmcleod	WH30,in,rm315
cnguyen	AC20,in,rm209
cnguyen	AC20,in,rm213
cnguyen	AC40,in,rm417
cnguyen	EH10,in,rm115
cnguyen	EH30,in,teamroom
cnguyen	WH40,in,rm407
coffenbacher	AC20,in,rm204
coffenbacher	WH20,in,lounge
coffenbacher	WH20,in,rm210
coffenbacher	WH30,in,rm318
coffenbacher	WH40,in,antelounge
coffenbacher	WH40,in,rm402
coffenbacher	WH40,in,rm404
coffenbacher	WH50,in,rm510
coffenbacher	WH50,in,rm512
crouleau	AC10,in,rm109
crouleau	AC10,in,rm126
crouleau	AC30,in,rm304
crouleau	AC30,in,rm306
crouleau	AC30,in,rm314 (printer)
crouleau	AC30,in,rm328
crouleau	AC40,in,rm413
crouleau	CC10,in,tables
crouleau	EH10,in,121 Team
crouleau	EH10,in,rm101teamrm
crouleau	EH20,in,rm206 Lounge
crouleau	EH30,in,lounge
crouleau	EH30,in,rm307
crouleau	EH30,in,rm3WestTeam
crouleau	WH10,in,lounge
crouleau	WH20,in,antelounge
crouleau	WH20,in,lounge
crouleau	WH20,in,north wing
crouleau	WH20,in,North Wing Nook
crouleau	WH20,in,rm229
crouleau	WH20,out,North Wing Nook
crouleau	WH30,in,antelounge
crouleau	WH30,in,lounge
crouleau	WH30,in,rm309
crouleau	WH40,in,antelounge
cstokes	AC10,in,rm113
cstokes	AC10,in,rm126
cstokes	AC10,out,middle
cstokes	AC10,out,Outside of AC 1st floor North
cstokes	AC10,out,The O
cstokes	AC20,in,rm206
cstokes	AC20,in,rm209
cstokes	AC20,in,rm213
cstokes	CC10,out,The O
cstokes	CC20,in,Cresecentrm
cstokes	OC00,in,auditorium
cstokes	OC00,in,Library
cstokes	OC10,in,Auditorium
cstokes	OC10,in,library
cstokes	WH20,in,lounge
cstokes	WH20,in,Nook
cstokes	WH30,in,antelounge
cstokes	WH30,in,lounge
cstokes	WH30,in,rm303
cstokes	WH30,in,rm307
cstokes	WH30,in,West Wing Windowseat
cstokes	WH40,in,lounge
ctappan	AC10,in,rm126
ctappan	AC30,in,rm306
ctappan	WH20,in,rm214
ctappan	WH40,in,rm405
cwang	AC10,in,rm109
cwang	AC10,in,rm126
cwang	AC30,in,rm318
cwang	AC30,in,rm328
cwang	WH20,in,north wing
cwang	WH20,in,rm204
cwang	WH30,in,rm310
czwiebel	OC00,in,Library
czwiebel	WH30,in,lounge
czwiebel	WH40,in,rm411
dbathgate	AC10,in,rm109
dbathgate	AC10,out,middle
dbathgate	AC10,out,The O
dbathgate	AC20,in,rm206
dbathgate	AC20,out,rm213
dbathgate	OC00,in,auditorium
dbathgate	OC00,in,Library
dbathgate	OC10,in,library
dbathgate	WH20,in,lounge
dbathgate	WH30,in,lounge
dbathgate	WH40,in,rm403
dcody	AC30,in,rm302
dcody	AC30,in,rm304
dcody	AC30,in,rm318
dcody	AC40,in,rm417
dcody	AC40,out,rm407
dcody	EH10,in,121 Team
dcody	EH10,in,rm101teamrm
dcody	EH20,in,rm206 Lounge
dcody	EH20,in,rm206F
dcody	EH30,in,rm303
dcody	OC30,in,rm332
dcody	OC30,in,rm335
ddougherty	AC10,in,rm126
ddougherty	AC20,in,rm213
ddougherty	AC20,in,rm228
ddougherty	AC30,in,rm304
ddougherty	AC30,in,rm306
ddougherty	AC30,in,rm326
ddougherty	AC30,in,rm328
ddougherty	AC30,out,rm302
ddougherty	AC30,out,rm309
ddougherty	AC40,in,rm413
ddougherty	AC40,in,rm417
ddougherty	AC40,out,rm419
ddougherty	AC40,out,rm428
ddougherty	CC10,in,dininghall
ddougherty	CC10,in,tables
ddougherty	EH10,in,111 Kitchen
ddougherty	EH10,in,lounge
ddougherty	EH30,in,rm317
ddougherty	EH40,in,rm401Teamrm
ddougherty	EH40,in,rm416
