username	placename
jsantos	AC40,out,rm428
jsantos	EH10,in,121 Team
jsantos	EH20,in,221teamrm
jsantos	EH20,in,rm201team
jsantos	EH20,in,rm206 Lounge
jsantos	EH20,in,rm206G
jsantos	EH20,in,rm228 lounge
jsantos	EH20,in,rm228F
jsantos	WH10,in,rm107
jsimonovich	AC10,in,rm102
jsimonovich	AC10,in,rm126
jsimonovich	AC20,in,rm204
jsimonovich	AC20,in,rm218
jsimonovich	AC30,in,rm318
jsimonovich	AC30,in,rm326
jsimonovich	AC40,in,rm417
jsimonovich	AC40,out,rm407
jsimonovich	CC10,in,dininghall
jsimonovich	OC00,in,auditorium
jsimonovich	OC00,in,Computer Lab
jsimonovich	OC00,in,Library
jsimonovich	OC10,in,library
jsimonovich	WH10,in,lounge
jsimonovich	WH20,in,antelounge
jsimonovich	WH20,in,lounge
jsimonovich	WH20,in,Nook
jsimonovich	WH20,in,north wing
jsimonovich	WH20,in,North Wing Nook
jsimonovich	WH20,in,rm202
jsimonovich	WH20,in,rm203
jsimonovich	WH20,in,rm212
jsimonovich	WH20,in,rm227
jsimonovich	WH20,in,rm229
jsimonovich	WH20,in,rm230
jsimonovich	WH30,in,antelounge
jsimonovich	WH30,in,lounge
jsimonovich	WH30,in,rm313
jsimonovich	WH30,in,rm331
jsimonovich	WH40,in,lounge
jsimonovich	WH40,in,rm413
jstanton	CC10,in,cookies
jstanton	CC20,in,Dining Hall Mezzanine
jstanton	WH10,in,lounge
jstanton	WH10,in,North Nook
jstanton	WH30,in,rm305
jstanton	WH40,in,rm414
jstanton	WH40,in,rm415
jswitzer	EH10,in,rm126B
jswitzer	EH10,in,rm129F
jwest	AC40,in,rm413
jwest	OC00,in,Computer Lab
jwest	WH10,in,lounge
jwest	WH20,in,antelounge
jwest	WH20,in,Nook
jwest	WH20,in,rm210
jwest	WH20,in,rm212
jwest	WH30,in,antelounge
jwest	WH30,in,northwing nook
jwest	WH30,in,rm324
jwhong	EH30,in,rm306E
jzapanta	OC00,in,rm10 (IT Helpdesk)
kadamec	AC10,in,rm128
kadamec	AC30,in,rm318
kadamec	AC40,in,rm417
kadamec	AC40,out,rm419
kadamec	EH10,in,121 Team
kadamec	EH10,in,lounge
kadamec	EH30,in,rm306F
kadamec	EH40,in,Lounge
kadamec	EH40,in,rm416
kadamec	EH40,in,rm421
kadamec	OC00,in,Computer Lab
kdramstad	AC20,in,rm206
kdramstad	AC20,in,rm209
kdramstad	AC20,out,rm213
kdramstad	AC40,in,rm417
kdramstad	CC30,in,central area hall
kdramstad	OC10,in,library
kdramstad	WH20,in,antelounge
kdramstad	WH20,in,lounge
kdramstad	WH20,in,rm212
kdramstad	WH40,in,lounge
kelliott	AC10,in,rm113
kelliott	AC20,in,rm204
kelliott	AC20,in,rm213
kelliott	AC30,in,rm306
kelliott	AC30,in,rm308
kelliott	AC30,in,rm309
kelliott	AC30,out,rm309
kelliott	AC40,in,rm409
kelliott	AC40,out,End
kelliott	AC40,out,rm417
kelliott	EH10,in,rm129 Lounge
kelliott	EH10,in,rm129E
kelliott	EH10,in,rm129F
kelliott	EH20,in,221teamrm
kelliott	OC00,in,Library
kelliott	OC10,in,rm110
kelliott	WH30,in,antelounge
kelliott	WH30,in,rm309
kelliott	WH30,in,rm312
kelliott	WH40,in,rm423
kelliott	WH40,in,rm425
kevinbretney	CC10,in,tables
kevinbretney	EH30,in,rm316
kgonzalez	OC10,in,library
khicks	AC10,in,rm126
khicks	AC20,in,rm206
khicks	AC20,in,rm209
khicks	WH20,in,lounge
khicks	WH30,in,antelounge
khicks	WH30,in,lounge
khicks	WH30,in,rm327
khicks	WH40,in,lounge
khicks	WH40,in,rm402
kmiller	AC20,in,rm209
kmiller	AC30,in,rm304
kmiller	CC10,in,dininghall
kmiller	CC10,in,tables
kmiller	OC10,in,library
kmiller	OC30,in,rm325
kmiller	WH40,in,antelounge
kmiller	WH40,in,rm425
kmiller	WH40,in,rm427
kmiller	WH40,in,rm429
kmurphy	AC10,in,rm109
kmurphy	AC30,in,rm309
kmurphy	WH10,in,rm105
komanakuttan	AC20,in,rm218
komanakuttan	AC40,in,rm413
kporta	EH40,in,rm416
kporta	EH40,in,rm417
kporta	OC10,in,library
kporta	WH10,in,lounge
kporta	WH40,in,rm414
kschults	AC10,in,rm102
kschults	AC10,in,rm109
kschults	AC10,in,rm126
kschults	AC20,in,rm206
kschults	AC30,in,rm318
kschults	AC30,in,rm328
kschults	OC00,in,auditorium
kschults	WH30,in,lounge
kschults	WH30,in,rm302
kschults	WH30,in,rm306
kschults	WH30,in,rm325
kschults	WH30,in,rm329
kschults	WH30,in,rm330
kschults	WH30,in,rm331
kschults	WH30,out,northwing
kschults	WH40,in,lounge
ksihlanick	AC10,in,rm126
ksihlanick	AC10,in,rm128
ksihlanick	AC30,in,rm304
ksihlanick	AC30,in,rm309
ksihlanick	AC30,in,rm328
ksihlanick	AC30,out,rm309
ksihlanick	CC10,in,computer bar
ksihlanick	CC10,in,dininghall
ksihlanick	CC10,in,tables
ksihlanick	EH20,in,221teamrm
ksihlanick	EH30,in,rm301
ksihlanick	EH30,in,rm328
ksihlanick	EH30,in,rm329A
ksihlanick	EH30,in,rm329E
ksihlanick	OC00,in,auditorium
ksihlanick	WH10,in,rm105
ksimon	AC20,in,rm204
ksimon	WH20,in,antelounge
ksimon	WH20,in,lounge
ksimon	WH20,in,rm213
ksimon	WH20,in,rm215
kspong	EH20,in,rm206 Lounge
kstadtmueller	AC10,in,rm126
kstadtmueller	AC30,in,rm328
kstadtmueller	AC30,out, AC 318
kstadtmueller	AC40,in,rm413
kstadtmueller	EH40,in,rm415
kstadtmueller	WH20,in,antelounge
kstadtmueller	WH20,in,rm201
kstadtmueller	WH30,in,lounge
kstadtmueller	WH30,in,rm303
kterracciano	AC30,in,rm306
kterracciano	AC30,in,rm328
kterracciano	WH20,in,rm218
kterracciano	WH20,in,rm226
kterracciano	WH30,in,lounge
kterracciano	WH40,in,antelounge
kterracciano	WH40,in,rm423
ktowers	AC30,in,rm304
ktowers	EH40,in,rm416
ldethrow	AC20,in,rm206
ldethrow	WH30,in,rm309
ldethrow	WH30,in,rm312
ldunne	AC10,in,rm109
ldunne	AC10,in,rm113
ldunne	AC20,in,rm209
ldunne	OC00,in,auditorium
ldunne	OC30,in,rm325
lgerhat	AC20,in,rm206
lgerhat	AC20,in,rm218
lgerhat	AC30,in,rm304
lgerhat	AC30,in,rm328
lgerhat	AC40,in,rm413
lgerhat	CC00,in,Mail Room
lgerhat	CC10,in,computer bar
lgerhat	CC10,in,tables
lgerhat	EH10,out,GreatLawn 
lgerhat	EH30,in,lounge
lgerhat	EH30,in,rm317
lgerhat	EH30,in,teamroom
lgerhat	EH30,in,WestTeamrm
lgerhat	EH40,in,rm401Teamrm
lgerhat	EH40,in,rm409
lgerhat	EH40,in,teamroom
lgerhat	OC00,in,auditorium
lgerhat	OC00,in,Computer Lab
lgerhat	OC00,in,Library
lgerhat	OC00,in,rm10 (IT Helpdesk)
lgerhat	OC10,in,library
lglanville	AC30,in,rm309
lglanville	AC30,out,rm309
lglanville	EH40,in,rm420
lglanville	OC00,in,Computer Lab
ljentoft	AC20,in,rm228
ljentoft	AC30,in,rm302
ljentoft	AC30,in,rm309
ljentoft	AC30,in,rm328
ljentoft	CC10,in,tables
ljentoft	CC20,in,Dining Hall Mezzanine
ljentoft	EH20,in,221teamrm
ljentoft	EH30,in,lounge
ljentoft	EH30,in,rm321
ljentoft	EH40,in,rm416
ljentoft	OC00,in,auditorium
ljentoft	OC10,in,library
ljentoft	WH40,in,rm414
ljentoft	WH40,in,rm415
lkaye	AC10,in,rm126
lkaye	AC20,in,rm218
lkaye	AC30,in,rm326
lkaye	AC30,in,rm328
lkaye	EH10,in,rm122
lkaye	WH20,in,Antelounge
lkaye	WH20,in,Nook
lkaye	WH30,in,lounge
lkaye	WH30,in,rm302
lkaye	WH30,in,rm330
lmendelson	AC10,in,rm102
lmendelson	AC10,in,rm109
lmendelson	AC10,in,rm126
lmendelson	AC10,out,middle
lmendelson	AC20,in,rm218
lmendelson	AC30,in,rm326
lmendelson	AC30,in,rm328
lmendelson	AC30,out, AC 318
lmendelson	AC40,in,rm413
lmendelson	OC00,in,auditorium
lmendelson	WH10,in,North Nook
lmendelson	WH20,in,Nook
lmendelson	WH30,in,antelounge
lmendelson	WH30,in,lounge
lmendelson	WH30,in,rm302
lmendelson	WH40,in,antelounge
lmendelson	WH40,in,rm401
lmendelson	WH40,in,rm414
lreed	WH30,in,rm304
lweis	AC10,in,rm109
lweis	AC10,in,rm113
lweis	AC10,in,rm126
lweis	AC30,in,rm318
lweis	AC30,in,rm326
lweis	AC30,in,rm328
lweis	AC40,in,rm417
lweis	EH10,in,111 Kitchen
lweis	EH10,in,rm120
lweis	EH20,in,rm206 Lounge
lweis	EH30,in,lounge
lweis	EH30,in,rm317
lweis	EH40,in,rm429F
lweis	OC00,in,auditorium
lweis	WH20,in,rm212
lweis	WH20,in,rm213
lweis	WH20,in,rm215
malvarado	AC20,in,rm209
malvarado	WH20,in,rm230
malvarado	WH30,in,lounge
malvarado	WH30,in,rm314
mbejar	OC00,in,auditorium
mbejar	WH10,in,lounge
mbejar	WH20,in,rm228
mbejar	WH20,in,rm229
mbejar	WH20,in,rm28
mbittner	EH40,in,rm4N Suite Lounge
mboes	AC20,in,rm209
mboes	EH10,in,lounge
mboes	EH20,in,rm207
mboes	EH20,in,rm209
mboes	OC10,in,library
mboutelle	AC30,in,rm304
mboutelle	AC30,in,rm309
mboutelle	EH10,in,111 Kitchen
mboutelle	EH10,in,rm111
mboutelle	EH30,in,rm303
mboutelle	EH30,in,rm321
mboutelle	EH40,in,rm421
mchang	AC30,in,rm304
mchang	AC30,in,rm306
mchang	AC30,in,rm309
mchang	AC30,in,rm326
mchang	EH10,in,lounge
mchang	EH10,in,rm116 (Living Room)
mchang	EH10,in,rm117
mchang	OC30,in,rm357
mchang	OC30,in,rm373
mchang	WH10,in,rm105
mcrawford	AC10,in,rm126
mcrawford	AC10,in,rm128
mcrawford	AC20,in,rm212
mcrawford	AC20,in,rm218
mcrawford	AC30,in,rm304
mcrawford	AC30,out, AC 318
mcrawford	AC30,out,AC302
mcrawford	AC30,out,rm302
mcrawford	AC40,in,rm417
mcrawford	AC40,out,rm409
mcrawford	CC20,in,Cresecentrm
mcrawford	CC20,in,Dining Hall Mezzanine
mcrawford	CC20,in,rm210
mcrawford	CC20,in,rm214
mcrawford	EH10,in,121 Team
mcrawford	EH10,in,lounge
mcrawford	EH30,in,lounge
mcrawford	EH30,in,rm301
mcrawford	EH30,in,rm316
mcrawford	EH30,in,rm329B
mcrawford	EH40,in,rm409
mcrawford	EH40,in,rm428B
mcrawford	OC00,in,Computer Lab
mcrawford	OC00,in,north_it
mcrawford	OC10,in,library
mcrawford	OC20,in,rm273
mcrawford	OC30,in,rm335
mcrawford	WH40,in,rm425
melsenbeck	AC30,in,rm328
melsenbeck	EH40,in,rm4N Suite Lounge
melsenbeck	OC10,in,library
melsenbeck	WH20,in,rm231
melsenbeck	WH20,in,rm31
melsenbeck	WH30,in,antelounge
melsenbeck	WH30,in,rm312
melsenbeck	WH40,in,rm402
melsenbeck	WH40,in,rm429
mhuang	AC10,in,rm126
mhuang	WH40,in,antelounge
mhuang	WH40,in,lounge
mhuang	WH40,in,rm411
miradu	AC20,in,rm213
miradu	AC30,in,rm326
miradu	CC10,in,computer bar
miradu	CC10,in,cookies
miradu	CC20,in,Cresecentrm
miradu	EH10,in,rm106 Suite Lounge
miradu	EH10,in,rm106A
miradu	EH20,in,rm206 Lounge
miradu	OC00,in,auditorium_stage
mlavine	AC10,in,rm126
mlavine	WH30,in,rm314
mmorales	AC10,in,rm102
mmorales	AC10,in,rm109
mmorales	AC20,in,rm209
mmorales	AC20,in,rm213
mmorales	AC40,in,rm413
mmorales	AC40,in,rm417
mmorales	CC10,in,cookies
mmorales	CC10,in,tables
mmorales	EH10,in,lounge
mmorales	EH10,in,rm120
mmorales	WH20,in,lounge
mmorales	WH40,in,antelounge
mmorales	WH40,in,rm402
mmorales	WH40,in,rm409
mmorales	WH40,in,rm423
mmurphy	AC10,in,rm126
mmurphy	AC20,in,rm206
mmurphy	OC00,in,auditorium
mmurphy	WH20,in,lounge
mmurphy	WH20,in,rm202
mmurphy	WH20,in,rm203
mmurphy	WH20,in,rm207
mmurphy	WH30,in,antelounge
mmurphy	WH30,in,lounge
mmurray	AC10,in,rm126
mmurray	AC20,in,rm206
mmurray	EH10,in,111 Kitchen
mmurray	WH20,in,antelounge
mmurray	WH20,in,lounge
mmurray	WH20,in,North Wing Nook
mmurray	WH20,in,rm223
mmurray	WH30,in,lounge
mmurray	WH30,in,northwing nook
mmurray	WH30,in,rm327
mritter	CC10,in,computer bar
mritter	EH20,in,rm228B
mritter	EH30,in,306 lounge
mritter	EH30,in,lounge
mritter	EH30,in,rm306B
mritter	EH30,in,rm306C
mritter	OC10,in,library
mschmidt	AC10,in,rm126
mschmidt	AC20,in,rm209
mschmidt	WH20,in,rm204
mschmidt	WH30,in,lounge
mschmidt	WH30,in,rm309
mschmidt	WH30,in,rm311
mschmidt	WH30,out,northwing
mstark	AC10,in,rm113
mstark	AC30,in,rm313
mstark	CC20,in,Cresecentrm
mstark	WH10,in,Lawn
mstark	WH10,in,lounge
mstark	WH20,in,antelounge
mstark	WH20,in,lounge
mstark	WH20,in,Nook
mstark	WH20,in,rm202
mstark	WH20,in,rm205
mstark	WH30,in,lounge
mstark	WH30,in,northwing nook
mtaylor1	AC30,in,rm309
nhays	AC20,in,rm226 SCOPE Lab
nhays	CC10,in,wooden_waterfall
nhays	EH20,in,rm220
nhobbs	WH40,in,lounge
nhobbs	WH40,in,rm402
Nick	WH40,in,rm427
nlee	AC20,in,rm204
nmartelaro	AC10,in,rm109
nmartelaro	AC10,out,middle
nmartelaro	AC20,in,rm204
nmartelaro	AC40,in,rm428
nmartelaro	WH10,in,lounge
nmartelaro	WH10,in,North Nook
nmartelaro	WH20,in,antelounge
nmartelaro	WH20,in,lounge
nmartelaro	WH20,in,rm205
nmartelaro	WH20,in,rm210
nmartelaro	WH20,in,rm228
nmartelaro	WH20,in,rm229
nmartelaro	WH30,in,rm318
nmartelaro	WH40,in,rm404
nmattison	AC20,in,rm206
nmattison	WH30,in,lounge
nmattison	WH30,in,rm311
nrpayton8	AC30,in,rm326
nrpayton8	WH20,in,rm209
nrpayton8	WH30,in,rm309
nrpayton8	WH40,in,rm427
nwittenstein	AC10,in,rm126
nwittenstein	AC20,in,rm226 SCOPE Lab
nwittenstein	AC30,in,rm309
nwittenstein	EH10,in,111 Kitchen
nwittenstein	EH30,in,rm313
nwittenstein	EH30,in,teamroom
nwittenstein	EH40,in,rm406D
nwittenstein	OC10,in,library
nwittenstein	WH20,in,rm209
onionuser	CC20,in,Dining Hall Mezzanine
onionuser	CC20,in,rm210
Ozymandias	WH20,in,rm210
Ozymandias	WH50,in,rm510
Ozymandias	WH50,in,rm512
pchung	AC20,in,rm208
pchung	WH30,in,rm309
pdirkse	AC10,in,rm109
pdirkse	AC10,in,rm126
pdirkse	CC20,in,Cresecentrm
pdirkse	EH20,in,rm207
pdirkse	EH20,in,rm209
pdirkse	WH30,in,antelounge
pdirkse	WH30,in,lounge
pdirkse	WH30,in,rm325
pierre	AC20,in,rm209
pmandel	AC30,in,rm309
pmandel	AC40,in,rm413
pmandel	EH30,in,rm313
pmandel	EH30,in,rm328
pmandel	EH40,in,Lounge
pmandel	EH40,in,rm420
pmandel	EH40,in,rm422
pwillemann	AC20,in,rm206
pwillemann	AC40,in,rm404
pwillemann	WH10,in,lounge
pwillemann	WH10,in,North Nook
pwillemann	WH20,in,antelounge
pwillemann	WH20,in,rm226
pwillemann	WH30,in,lounge
pwillemann	WH30,in,rm327
pwillemann	WH30,out,northwing
rcherney	AC10,out,The O
rcherney	AC20,in,Gill\\\\\\'s Lab
rcherney	AC40,in,rm413
rcherney	AC40,out,rm419
rcherney	CC10,in,tables
rcherney	EH30,in,rm307
rcherney	OC00,in,Library
rcherney	WH20,in,antelounge
rcherney	WH20,in,lounge
rcherney	WH20,in,Nook
rcherney	WH20,in,rm225
rcherney	WH20,in,rm226
rcherney	WH20,in,rm229
rcherney	WH30,in,rm302
rcherney	WH40,in,lounge
rcherney	WH40,in,rm02
rcherney	WH40,in,rm401
rcherney	WH40,in,rm402
rcherney	WH40,in,rm425
rcrosby	AC20,in,rm209
rcrosby	CC10,in,computer bar
rcrosby	EH10,in,111 Kitchen
rcrosby	EH20,in,221teamrm
rcrosby	EH20,in,rm205
rcrosby	EH20,in,rm206 Lounge
rcrosby	EH20,in,rm207
rcrosby	EH40,in,rm413
rkim	AC20,in,rm206
rkim	AC30,in,rm304
rkim	WH10,out,outside
rkim	WH20,in,antelounge
rkim	WH20,in,lounge
rkim	WH30,in,antelounge
rkim	WH30,in,lounge
rkim	WH30,in,northwing nook
rkim	WH30,in,rm302
rkim	WH30,in,rm323
rkim	WH30,in,rm325
rkim	WH30,in,rm327
rkim	WH30,in,TEAM ROOM
rkim	WH30,out,northwing
rkim	WH40,in,rm404
rleung	WH20,in,rm231
rliu	AC10,in,rm126
rliu	AC20,in,rm209
rliu	WH20,in,lounge
rliu	WH20,in,rm226
rliu	WH30,in,TEAM ROOM
rliu	WH40,in,rm415
rmacklin	CC20,in,Dining Hall Mezzanine
rmacklin	EH20,in,rm228F
rmitchell	AC20,in,rm209
rmitchell	AC30,in,rm306
rmitchell	CC10,in,computer bar
rmitchell	EH10,in,111 Kitchen
rmitchell	EH10,in,lounge
rmitchell	EH20,in,rm215
rmitchell	EH30,in,Lounge
rmitchell	EH30,in,rm305
rmitchell	EH30,in,rm306B
rmitchell	EH30,in,rm321
rmitchell	EH30,in,rm328
roland	EH40,in,rm413
root	EH40,in,rm416
root	EH40,in,rm417
Rorschach	WH20,in,rm210
rorschach	WH30,in,rm318
rorschach	WH50,in,rm318
rorschach	WH50,in,rm510
Rorschach	WH50,in,rm512
rpratt	WH10,in,lounge
rpratt	WH20,in,rm211
rrangan	AC20,in,rm204
rrangan	AC30,in,rm304
rrangan	AC30,in,rm306
rrangan	AC30,in,rm326
rrangan	AC30,in,rm328
rrangan	WH20,in,lounge
rrangan	WH30,in,lounge
rrangan	WH30,in,rm307
rrangan	WH30,in,rm309
rrangan	WH30,out,westwing
rsobecki	AC10,in,rm126
rsobecki	AC20,in,rm209
rsobecki	OC10,in,Auditorium
rsobecki	WH20,in,antelounge
rsobecki	WH20,in,lounge
rsobecki	WH30,in,lounge
rsobecki	WH30,in,northwing nook
rsobecki	WH30,in,rm330
rsobecki	WH30,out,northwing
rstedman	AC30,in,rm304
rstedman	EH40,in,teamroom
rstedman	WH20,in,rm212
rwang	AC10,in,rm126
rwang	AC20,in,rm204
rwang	CC10,in,cookies
rwang	OC10,in,library
rwang	WH30,in,rm309
rwang	WH40,in,rm404
rzeller	AC10,in,rm113
rzeller	AC10,in,rm126
rzeller	AC20,in,rm206
rzeller	CC10,in,dininghall
rzeller	CC10,in,tables
rzeller	WH20,in,lounge
rzeller	WH30,in,antelounge
rzeller	WH30,in,rm304
rzeller	WH30,in,rm306
rzeller	WH30,in,TEAM ROOM
SAllen	AC10,in,rm109
SAllen	AC10,out,middle
SAllen	AC20,in,rm206
SAllen	AC20,in,rm209
SAllen	AC20,in,rm213
SAllen	AC20,in,rm218
SAllen	AC30,in,rm328
SAllen	AC40,in,rm413
sallen	AC40,in,rm417
SAllen	AC40,out,End
SAllen	AC40,out,rm428
sallen	CC00,in,game_room
SAllen	CC10,in,computer bar
SAllen	CC10,in,cookies
sallen	CC10,in,tables
sallen	EH10,in,lounge
sallen	EH30,in,teamroom
SAllen	OC00,in,Auditorium
SAllen	OC00,in,Library
sallen	OC10,in,library
SAllen	OC20,in,Mezzanine
SAllen	WH10,in,Kitchen
SAllen	WH20,in,antelounge
SAllen	WH20,in,lounge
SAllen	WH20,in,Nook
SAllen	WH20,in,north wing
SAllen	WH20,in,rm212
SAllen	WH20,in,rm218
sallen	WH40,in,rm424
santol	AC10,in,rm102
santol	AC30,in,rm318
santol	AC30,in,rm326
santol	AC30,in,rm328
santol	AC40,in,rm413
santol	AC40,in,rm417
santol	WH20,in,rm212
santol	WH20,in,rm225
santol	WH30,in,lounge
santol	WH30,in,rm302
santol	WH30,in,rm306
santol	WH40,in,lounge
santol	WH40,in,rm431
sbackus	AC10,in,rm103
sbackus	AC20,in,rm204
sbackus	AC20,out,hallway
sbackus	AC30,in,rm328
sbackus	AC40,in,rm413
sbackus	WH30,in,antelounge
sbackus	WH30,in,lounge
sbackus	WH30,in,rm301
sbackus	WH30,in,rm301 Bath
sbackus	WH30,in,rm301Bathrm
sbackus	WH30,in,rm302
sbackus	WH30,in,rm303
sbackus	WH40,in,lounge
schao	AC10,in,rm102
schao	AC10,in,rm128
schao	AC20,in,rm206
schao	AC30,in,rm304
schao	AC30,out,rm302
schao	CC00,in,Mail Room
schao	OC00,in,auditorium_stage
schao	OC10,in,library
schao	WH10,in,Antelounge
schao	WH10,in,lounge
schao	WH20,in,antelounge
schao	WH20,in,lounge
schao	WH20,in,Nook
schao	WH20,in,rm213
schao	WH20,out,rm215
schao	WH30,in,antelounge
schao	WH30,in,northwing nook
schao	WH30,in,rm302
schao	WH30,out,northwing
shiggins	AC10,out,The O
shiggins	AC20,in,rm206
shiggins	AC20,in,rm213
shiggins	CC10,out,middle
shiggins	OC00,in,Library
shiggins	OC30,in,rm325
shiggins	WH20,in,lounge
shiggins	WH20,in,Nook
shiggins	WH20,in,rm202
shiggins	WH20,in,rm213
shiggins	WH30,in,lounge
slam	WH20,in,rm209
slam	WH40,in,rm411
smcclure	AC20,in,rm218
smcclure	AC30,in,rm304
smcclure	AC40,in,rm417
smcclure	EH30,in,rm301
smcclure	EH30,in,rm329E
smcclure	EH30,out,northwing
smcclure	EH40,in,rm421
smcclure	OC10,in,library
ssun	WH20,in,Nook
ssun	WH30,in,rm328
sthompson	AC10,in,rm109
sthompson	AC10,in,rm126
sthompson	AC20,in,rm228
sthompson	AC30,in,rm328
sthompson	AC30,out, AC 318
sthompson	EH20,in,rm207
sthompson	OC10,in,library
sthompson	WH30,in,antelounge
sthompson	WH30,in,lounge
sthompson	WH40,in,antelounge
sthompson	WH40,in,rm404
sthompson	WH40,in,rm407
sthompson	WH40,out,northwing
sthomson	AC20,in,rm209
sthomson	OC00,in,Library
sthomson	OC30,in,rm325
sthomson	WH20,in,antelounge
sthomson	WH20,in,lounge
sthomson	WH20,in,rm204
sthomson	WH30,in,lounge
sthomson	WH40,in,lounge
sthomson	WH40,in,rm412
sthomson	WH40,out,eastwing
Sticky Light	WH20,in,rm210
swaskom	AC10,in,rm109
swaskom	AC20,in,rm218
swaskom	AC30,in,rm318
swaskom	WH10,in,Kitchen
swaskom	WH20,in,antelounge
swaskom	WH20,in,rm14
swaskom	WH20,in,rm214
swaskom	WH40,in,rm405
swolpert	AC20,in,rm209
swolpert	AC20,in,rm213
swolpert	AC30,in,rm304
swolpert	CC10,in,computer bar
swolpert	CC20,in,rm210
swolpert	EH10,in,lounge
swolpert	EH10,in,rm101teamrm
swolpert	EH20,in,rm201team
swolpert	EH20,in,rm205
swolpert	EH20,in,rm206 Lounge
swolpert	EH30,in,rm305
swolpert	EH30,in,rm329 suite lounge
swolpert	OC00,in,auditorium
szimmerman	AC10,in,rm126
szimmerman	AC30,in,rm328
szimmerman	CC10,in,computer bar
szimmerman	CC10,in,cookies
szimmerman	CC10,in,tables
szimmerman	WH20,in,lounge
szimmerman	WH20,in,Nook
szimmerman	WH20,in,rm231
szimmerman	WH30,in,rm302
szimmerman	WH40,in,antelounge
szimmerman	WH40,in,rm429
szimmermann	AC20,in,rm204
szimmermann	AC30,out,rm309
szimmermann	AC40,out,rm428
szimmermann	CC10,in,cookies
szimmermann	CC20,in,Dining Hall Mezzanine
szimmermann	EH10,in,rm117
szimmermann	EH30,in,antelounge
szimmermann	EH30,in,rm303
szimmermann	EH30,in,rm307
szimmermann	OC00,in,Computer Lab
szinnen	AC30,in,rm326
szinnen	AC30,in,rm328
szinnen	EH20,in,rm217
szinnen	WH20,in,rm228
szinnen	WH30,in,antelounge
tindik	AC30,in,rm328
tindik	WH30,in,lounge
tindik	WH40,in,antelounge
tindik	WH40,in,rm404
tindik	WH40,in,rm407
tlamar	AC10,in,rm113
tlamar	WH20,in,lounge
tlamar	WH20,in,Nook
tlamar	WH20,in,rm226
tsmith	AC10,in,rm109
tsmith	AC10,in,rm113
tsmith	AC20,in,rm213
tsmith	AC20,in,rm218
tsmith	AC40,in,rm406
tsmith	AC40,in,rm407
tsmith	CC20,in,Board Room
tsmith	EH10,in,111 Kitchen
tsmith	EH10,in,rm106
tsmith	EH10,in,rm106F
tsmith	EH20,in,rm201team
tsmith	OC10,in,library
vdimitrov	AC30,in,rm328
vdimitrov	WH20,in,lounge
vdimitrov	WH20,in,North Wing Nook
vdimitrov	WH20,in,rm207
vdimitrov	WH30,in,rm309
vhsiao	AC10,in,rm109
vhsiao	AC10,in,rm113
vhsiao	AC20,in,rm204
vhsiao	AC30,in,08
vhsiao	AC30,in,rm304
vhsiao	AC30,in,rm313
vhsiao	EH20,in,221teamrm
vhsiao	EH30,in,rm313
vhsiao	EH30,in,rm315
vhsiao	EH40,in,teamroom
vmani	AC10,in,rm126
vmani	AC20,in,rm204
vmani	AC30,in,rm313
vmani	OC00,in,auditorium
vmani	OC00,in,Computer Lab
vmani	OC00,in,Library
vmani	OC10,in,library
vmani	WH40,in,antelounge
vmani	WH40,in,rm402
vmani	WH40,in,rm404
vmani	WH40,in,rm406
wandree	AC10,in,rm102
wandree	AC20,in,rm206
wandree	AC40,in,rm417
wandree	AC40,in,rm428
wandree	OC00,out,north_it
wandree	WH10,in,outside
wandree	WH10,out,Sukkah
wandree	WH20,in,lounge
wandree	WH20,in,rm205
wandree	WH30,in,lounge
wandree	WH30,in,northwing nook
wandree	WH40,in,antelounge
wandree	WH40,in,lounge
wandree	WH40,in,rm403
wandree	WH40,in,rm405
wdvorak	EH30,in,rm305
wdvorak	EH40,in,rm417
xy	WH30,in,rm330
xziemba	AC10,in,rm106
xziemba	AC10,in,rm109
xziemba	AC10,in,rm126
xziemba	AC10,out,The O
xziemba	AC20,in,rm204
xziemba	AC20,in,rm213
xziemba	OC00,in,auditorium
xziemba	OC00,in,Library
xziemba	OC10,in,library
xziemba	WH20,in,antelounge
xziemba	WH20,in,lounge
xziemba	WH20,in,rm202
xziemba	WH20,in,rm228
xziemba	WH30,in,antelounge
xziemba	WH30,in,lounge
xziemba	WH30,in,rm330
yfeng	AC10,in,rm126
yfeng	AC20,in,rm204
yfeng	AC20,in,rm206
yfeng	AC20,in,rm218
yfeng	OC00,in,auditorium
yfeng	OC00,in,Library
yfeng	OC10,in,library
yfeng	WH20,in,lounge
yfeng	WH20,in,north wing
yfeng	WH20,in,North Wing Nook
yfeng	WH20,in,rm204
yfeng	WH20,in,rm210
yfeng	WH20,in,rm227
yfeng	WH20,in,rm229
yfeng	WH30,in,lounge
yfeng	WH30,in,rm302
yfeng	WH30,in,rm304
yfeng	WH30,in,rm309
yfeng	WH30,in,rm311
yfeng	WH30,in,rm318
yfeng	WH30,in,rm323
yfeng	WH30,in,rm325
yfeng	WH40,in,antelounge
yfeng	WH40,in,rm402
yfeng	WH40,in,rm404
yli	WH30,in,rm301
yli	WH30,in,rm312
yli	WH30,in,rm323
yli	WH30,in,rm325
zbrass	AC20,in,rm209
zbrass	AC20,out,rm213
zbrass	CC00,in,Mail Room
zbrass	CC10,in,dininghall
zbrass	CC20,in,Cresecentrm
zbrass	OC00,in,Library
zbrass	OC10,in,library
