placename	time
OC20,in,rm273	2008-03-05 16:12:10
OC00,in,Computer Lab	2008-03-05 19:30:15
EH10,in,rm119	2008-03-05 21:02:57
EH40,in,rm409	2008-03-05 22:09:46
CC20,in,rm210	2008-03-05 23:34:05
EH30,in,rm329A	2008-03-06 01:02:21
AC30,in,rm306	2008-03-06 11:14:59
CC00,in,Mail Room	2008-03-06 12:06:26
EH30,in,rm307	2008-03-06 12:26:30
AC30,in,rm326	2008-03-06 13:47:23
EH40,in,NorthTeamrm	2008-03-06 21:12:07
WH40,in,rm425	2008-03-06 23:57:03
WH40,in,rm423	2008-03-07 00:35:15
EH30,in,rm329B	2008-03-07 00:37:42
WH20,in,rm215	2008-03-07 00:56:54
WH20,in,rm212	2008-03-07 01:02:08
EH10,in,111 Kitchen	2008-03-07 08:57:52
OC20,in,Mezzanine	2008-03-07 10:13:25
AC30,out,AC302	2008-03-07 11:18:14
WH40,in,rm407	2008-03-07 16:41:29
AC10,out,Outside Machine Shop	2008-03-07 17:12:36
AC10,out,Machine Shop	2008-03-07 17:14:14
EH30,in,WestTeamrm	2008-03-07 23:34:53
WH40,in,rm429	2008-03-08 02:43:19
EH30,in,rm301	2008-03-08 18:42:44
WH20,in,Nook	2008-03-09 14:39:52
EH10,in,rm101teamrm	2008-03-09 15:20:18
CC20,in,Dining Hall Mezzanine	2008-03-09 16:37:01
WH40,in,rm405	2008-03-09 20:01:02
EH20,in,rm205	2008-03-10 00:02:16
CC10,in,computer bar	2008-03-10 14:43:52
WH20,in,rm14	2008-03-10 19:13:45
WH20,in,rm214	2008-03-10 19:15:01
WH30,in,rm302	2008-03-10 19:34:31
WH40,in,rm02	2008-03-10 20:33:23
WH40,in,rm402	2008-03-10 20:34:26
WH20,in,rm202	2008-03-10 21:31:11
EH40,in,rm405	2008-03-10 23:20:52
EH20,in,rm201team	2008-03-10 23:25:18
WH30,in,rm306	2008-03-11 00:49:49
WH10,in,Kitchen	2008-03-11 16:26:59
WH20,in,rm230	2008-03-11 21:07:07
WH20,in,rm226	2008-03-11 22:04:33
WH40,in,rm427	2008-03-11 22:35:06
WH20,out,North Wing Nook	2008-03-12 00:01:12
WH20,in,North Wing Nook	2008-03-12 02:27:43
WH20,in,rm207	2008-03-12 04:45:23
EH40,in,rm413	2008-03-12 11:06:04
CC30,in,rm310	2008-03-12 21:13:10
AC30,in,08	2008-03-13 10:57:22
EH20,in,rm207	2008-03-13 18:56:30
AC10,in,rm102	2008-03-13 20:30:33
EH20,in,rm206C	2008-03-13 20:59:38
WH20,in,rm213	2008-03-13 21:06:18
EH10,in,rm106F	2008-03-13 22:44:02
WH40,in,rm418	2008-03-16 02:17:56
WH40,in,rm412	2008-03-16 11:56:28
WH40,in,rm401	2008-03-18 00:41:25
EH40,in,rm418	2008-03-18 16:21:52
WH20,in,rm204	2008-03-23 02:14:06
WH30,in,rm329	2008-03-23 16:09:59
WH20,in,rm31	2008-03-24 16:02:16
WH20,in,rm231	2008-03-24 16:03:08
WH30,in,rm330	2008-03-24 19:09:26
AC40,in,rm407	2008-03-25 14:21:32
AC20,in,Gill\\'s Lab	2008-03-25 18:33:35
EH20,in,rm220	2008-03-25 22:14:55
AC40,in,rm406	2008-03-26 18:34:15
WH30,in,rm301	2008-03-27 08:07:56
AC20,out,hallway	2008-03-27 13:18:23
WH40,in,rm431	2008-03-27 22:01:10
OC30,out,rm370	2008-03-28 17:06:29
OC30,out,rm366	2008-03-28 17:07:33
OC30,in,Faculty Lobby	2008-03-28 17:10:49
OC30,in,rm350	2008-03-28 17:11:32
OC30,in,rm321	2008-03-28 17:13:08
OC30,in,rm300	2008-03-28 17:15:13
OC20,in,Faculty Lobby	2008-03-28 17:19:21
OC20,out,rm227	2008-03-28 17:23:29
OC20,in,rm200	2008-03-28 17:25:15
WH30,in,rm301Bathrm	2008-03-28 23:01:55
EH30,in,rm306B	2008-03-29 09:17:02
EH10,in,rm106	2008-03-31 21:39:34
OC00,in,auditorium_stage	2008-04-02 11:50:04
AC10,in,rm103	2008-04-04 09:38:07
EH10,in,rm116 (Living Room)	2008-04-04 20:31:57
WH10,in,rm105	2008-04-06 13:53:51
EH10,in,rm106A	2008-04-07 11:13:51
EH40,in,rm417	2008-04-07 11:36:45
WH40,in,rm404	2008-04-07 11:45:47
WH30,in,rm314	2008-04-07 12:05:01
WH30,in,rm313	2008-04-07 12:10:09
WH40,in,rm410 (The Zebra Lounge)	2008-04-07 12:21:54
WH40,in,rm420	2008-04-07 12:33:56
EH30,in,rm328	2008-04-07 12:39:35
EH30,in,rm321	2008-04-07 12:47:35
EH40,in,Lounge	2008-04-07 12:56:37
EH10,in,rm106 Suite Lounge	2008-04-07 13:27:47
AC30,out, AC 318	2008-04-07 14:34:32
OC30,in,rm373	2008-04-07 16:02:55
EH30,in,rm306E	2008-04-07 16:07:52
WH40,in,rm406	2008-04-07 16:09:57
EH20,in,rm215	2008-04-07 17:18:54
OC30,in,rm357	2008-04-07 17:22:48
WH20,in,rm206	2008-04-07 18:04:18
WH30,in,rm323	2008-04-07 18:21:54
WH40,in,rm403	2008-04-07 18:44:56
WH40,out,Antelounge	2008-04-07 19:30:29
OC30,in,rm325	2008-04-07 19:53:48
WH20,in,rm225	2008-04-07 20:12:41
WH20,in,rm209	2008-04-07 20:28:25
EH40,in,rm416	2008-04-07 20:39:06
WH30,in,rm324	2008-04-07 20:40:30
WH40,in,antelounge	2008-04-07 21:01:28
CC20,in,Cresecentrm	2008-04-07 21:01:58
EH30,in,rm305	2008-04-07 21:07:25
WH10,in,North Nook	2008-04-07 22:20:48
EH10,in,rm128A	2008-04-08 00:50:55
EH40,in,rm406F	2008-04-08 01:44:54
EH30,in,rm329 suite lounge	2008-04-08 02:16:38
WH30,in,rm315	2008-04-08 09:11:36
WH20,in,rm229	2008-04-08 10:17:06
EH10,out,Outside EH front doors.	2008-04-08 14:57:02
AC40,out,rm406	2008-04-08 16:58:59
EH20,in,rm219	2008-04-08 17:43:29
EH40,in,rm428	2008-04-08 20:22:05
WH30,in,rm301 Bath	2008-04-09 13:40:31
AC40,in,rm407(Joanne\\'soffice)	2008-04-09 14:16:32
AC40,in,rm404	2008-04-09 18:45:09
EH40,in,rm422	2008-04-09 20:13:42
AC20,in,rm226 SCOPE Lab	2008-04-09 21:14:03
EH20,in,rm209	2008-04-09 23:30:35
AC40,in,rm428	2008-04-12 15:40:11
EH10,in,rm128 Lounge	2008-04-13 02:59:06
EH40,in,rm401Teamrm	2008-04-13 12:31:15
AC30,in,rm314 (printer)	2008-04-13 12:31:47
WH20,in,rm228	2008-04-13 13:05:47
EH10,in,rm121	2008-04-13 23:45:43
CC20,in,Board Room	2008-04-14 19:43:29
WH30,in,North Wing	2008-04-14 22:02:29
EH10,in,rm117	2008-04-15 11:23:35
WH30,in,rm326	2008-04-15 11:39:00
AC30,in,rm308	2008-04-19 17:48:43
EH10,out,GreatLawn 	2008-04-20 14:17:54
AC30,out,rm325	2008-04-24 09:48:28
WH10,out,rm124	2008-04-24 18:48:35
WH20,out,rm215	2008-04-27 16:27:41
WH30,in,rm305	2008-04-29 22:59:21
EH20,in,rm206G	2008-05-02 12:40:38
EH10,in,rm111	2008-05-03 22:26:16
WH20,in,rm210	2008-05-07 23:48:56
EH40,in,rm415	2008-06-01 23:28:46
EH40,in,rm428B	2008-06-03 20:19:35
AC20,in,rm212	2008-06-04 10:17:41
OC00,in,Library Workroom	2008-06-10 11:06:56
EH40,in,rm4N Suite Lounge	2008-07-06 21:16:48
EH40,in,rm429F	2008-07-24 22:55:57
EH20,in,rm228B	2008-08-27 00:18:55
EH10,in,rm129E	2008-08-27 19:56:51
EH40,in,rm416E	2008-08-28 22:20:56
WH20,in,rm203	2008-08-29 15:23:24
WH30,in,rm327	2008-08-29 16:10:25
WH20,in,rm227	2008-08-29 19:04:46
WH20,in,rm205	2008-08-29 19:56:18
EH40,in,rm406A	2008-08-30 09:03:30
WH20,in,rm211	2008-08-30 12:43:21
EH10,in,rm129F	2008-08-30 13:08:05
WH30,in,rm304	2008-08-30 15:39:25
EH40,in,rm403	2008-08-30 22:46:33
WH20,in,rm224	2008-08-30 23:51:00
WH20,in,rm223	2008-08-31 11:07:08
WH20,in,rm28	2008-08-31 16:14:34
WH10,out,outside	2008-09-01 14:17:53
WH30,in,rm331	2008-09-02 20:30:08
EH10,in,rm122	2008-09-02 21:20:28
WH30,in,TEAM ROOM	2008-09-02 22:57:38
CC20,in,rm214	2008-09-03 14:31:40
WH30,in,rm320	2008-09-04 21:30:45
WH10,in,outside	2008-09-04 21:38:33
EH20,in,rm228F	2008-09-06 12:16:11
WH30,in,rm310	2008-09-11 15:06:35
AC10,out,Outside of AC 1st floor North	2008-09-11 15:10:41
OC10,in,Auditorium	2008-09-12 14:43:56
EH10,in,rm106G	2008-09-13 12:32:01
CC10,out,The O	2008-09-16 14:59:42
WH10,in,rm107	2008-09-17 13:33:33
EH30,in,rm306G	2008-09-17 20:17:14
