placename	COUNT(*)
WH10,in,Kitchen	9
WH10,in,lounge	11
WH10,in,North Nook	1
WH10,in,rm105	5
WH10,out,eastwing	1
WH10,out,northwing	2
WH10,out,westwing	3
WH20,in,antelounge	29
WH20,in,lounge	38
WH20,in,Nook	44
WH20,in,north wing	17
WH20,in,North Wing Nook	12
WH20,in,rm14	3
WH20,in,rm201	10
WH20,in,rm202	6
WH20,in,rm204	4
WH20,in,rm206	3
WH20,in,rm207	48
WH20,in,rm209	14
WH20,in,rm212	13
WH20,in,rm213	14
WH20,in,rm214	4
WH20,in,rm215	24
WH20,in,rm218	21
WH20,in,rm225	42
WH20,in,rm226	2
WH20,in,rm228	1
WH20,in,rm229	18
WH20,in,rm230	3
WH20,in,rm231	13
WH20,in,rm31	1
WH20,out,North Wing Nook	3
WH20,out,westwing	1
WH30,in,antelounge	48
WH30,in,lounge	142
WH30,in,North Wing	7
WH30,in,northwing nook	12
WH30,in,rm301	64
WH30,in,rm301 Bath	3
WH30,in,rm301Bathrm	1
WH30,in,rm302	17
WH30,in,rm303	22
WH30,in,rm306	31
WH30,in,rm307	12
WH30,in,rm309	109
WH30,in,rm312	54
WH30,in,rm313	12
WH30,in,rm314	2
WH30,in,rm315	35
WH30,in,rm318	4
WH30,in,rm323	4
WH30,in,rm324	22
WH30,in,rm325	9
WH30,in,rm326	3
WH30,in,rm329	51
WH30,in,rm330	22
WH30,out,northwing	9
WH30,out,rm309	7
WH30,out,westwing	4
WH40,in,antelounge	22
WH40,in,lounge	52
WH40,in,northwing stairwell	1
WH40,in,rm02	2
WH40,in,rm401	8
WH40,in,rm402	22
WH40,in,rm403	4
WH40,in,rm404	15
WH40,in,rm405	9
WH40,in,rm406	29
WH40,in,rm407	32
WH40,in,rm409	25
WH40,in,rm410	5
WH40,in,rm410 (The Zebra Lounge)	23
WH40,in,rm411	35
WH40,in,rm412	8
WH40,in,rm413	8
WH40,in,rm414	149
WH40,in,rm415	64
WH40,in,rm418	69
WH40,in,rm420	2
WH40,in,rm423	71
WH40,in,rm425	31
WH40,in,rm427	6
WH40,in,rm429	25
WH40,in,rm431	6
WH40,out,Antelounge	1
WH40,out,eastwing	5
WH40,out,northwing	5
WH40,out,westwing	3
