placename	COUNT(*)
WH10,in,Kitchen	9
WH10,in,lounge	17
WH10,in,North Nook	9
WH10,in,rm105	7
WH10,out,eastwing	1
WH10,out,northwing	2
WH10,out,rm124	1
WH10,out,westwing	3
WH20,in,antelounge	34
WH20,in,lounge	43
WH20,in,Nook	62
WH20,in,north wing	19
WH20,in,North Wing Nook	15
WH20,in,rm14	3
WH20,in,rm201	10
WH20,in,rm202	8
WH20,in,rm204	4
WH20,in,rm206	3
WH20,in,rm207	51
WH20,in,rm209	17
WH20,in,rm210	4
WH20,in,rm212	20
WH20,in,rm213	51
WH20,in,rm214	5
WH20,in,rm215	30
WH20,in,rm218	26
WH20,in,rm225	48
WH20,in,rm226	3
WH20,in,rm228	1
WH20,in,rm229	31
WH20,in,rm230	3
WH20,in,rm231	15
WH20,in,rm31	1
WH20,out,North Wing Nook	4
WH20,out,rm215	10
WH20,out,westwing	1
WH30,in,antelounge	62
WH30,in,lounge	178
WH30,in,North Wing	7
WH30,in,northwing nook	15
WH30,in,rm301	64
WH30,in,rm301 Bath	3
WH30,in,rm301Bathrm	1
WH30,in,rm302	29
WH30,in,rm303	22
WH30,in,rm305	4
WH30,in,rm306	31
WH30,in,rm307	16
WH30,in,rm309	124
WH30,in,rm312	62
WH30,in,rm313	17
WH30,in,rm314	3
WH30,in,rm315	62
WH30,in,rm318	4
WH30,in,rm323	20
WH30,in,rm324	23
WH30,in,rm325	9
WH30,in,rm326	4
WH30,in,rm329	69
WH30,in,rm330	28
WH30,out,northwing	10
WH30,out,rm309	7
WH30,out,westwing	4
WH40,in,antelounge	28
WH40,in,lounge	66
WH40,in,northwing stairwell	1
WH40,in,rm02	3
WH40,in,rm401	8
WH40,in,rm402	30
WH40,in,rm403	4
WH40,in,rm404	16
WH40,in,rm405	11
WH40,in,rm406	41
WH40,in,rm407	35
WH40,in,rm409	28
WH40,in,rm410	5
WH40,in,rm410 (The Zebra Lounge)	24
WH40,in,rm411	38
WH40,in,rm412	8
WH40,in,rm413	8
WH40,in,rm414	171
WH40,in,rm415	106
WH40,in,rm418	73
WH40,in,rm420	2
WH40,in,rm423	79
WH40,in,rm425	38
WH40,in,rm427	7
WH40,in,rm429	28
WH40,in,rm431	6
WH40,out,Antelounge	1
WH40,out,eastwing	5
WH40,out,northwing	5
WH40,out,westwing	3
