placename	COUNT(*)
WH10,in,Kitchen	9
WH10,in,lounge	29
WH10,in,North Nook	11
WH10,in,outside	1
WH10,in,rm105	11
WH10,in,rm107	3
WH10,out,eastwing	1
WH10,out,northwing	2
WH10,out,outside	2
WH10,out,rm124	1
WH10,out,westwing	3
WH20,in,antelounge	69
WH20,in,lounge	205
WH20,in,Nook	71
WH20,in,north wing	21
WH20,in,North Wing Nook	16
WH20,in,rm14	3
WH20,in,rm201	10
WH20,in,rm202	21
WH20,in,rm203	3
WH20,in,rm204	34
WH20,in,rm205	44
WH20,in,rm206	9
WH20,in,rm207	83
WH20,in,rm209	37
WH20,in,rm210	20
WH20,in,rm211	2
WH20,in,rm212	25
WH20,in,rm213	87
WH20,in,rm214	13
WH20,in,rm215	38
WH20,in,rm218	26
WH20,in,rm223	10
WH20,in,rm224	8
WH20,in,rm225	59
WH20,in,rm226	15
WH20,in,rm227	36
WH20,in,rm228	10
WH20,in,rm229	38
WH20,in,rm230	3
WH20,in,rm231	15
WH20,in,rm28	3
WH20,in,rm31	1
WH20,out,North Wing Nook	4
WH20,out,rm215	10
WH20,out,westwing	1
WH30,in,antelounge	77
WH30,in,lounge	274
WH30,in,North Wing	7
WH30,in,northwing nook	27
WH30,in,rm301	65
WH30,in,rm301 Bath	3
WH30,in,rm301Bathrm	1
WH30,in,rm302	35
WH30,in,rm303	191
WH30,in,rm304	46
WH30,in,rm305	4
WH30,in,rm306	47
WH30,in,rm307	17
WH30,in,rm309	135
WH30,in,rm310	1
WH30,in,rm312	63
WH30,in,rm313	100
WH30,in,rm314	13
WH30,in,rm315	66
WH30,in,rm318	7
WH30,in,rm320	1
WH30,in,rm323	28
WH30,in,rm324	28
WH30,in,rm325	40
WH30,in,rm326	4
WH30,in,rm327	9
WH30,in,rm328	3
WH30,in,rm329	69
WH30,in,rm330	79
WH30,in,rm331	11
WH30,in,TEAM ROOM	3
WH30,in,West Wing Windowseat	3
WH30,out,northwing	14
WH30,out,rm309	7
WH30,out,westwing	6
WH40,in,antelounge	38
WH40,in,lounge	77
WH40,in,northwing stairwell	1
WH40,in,rm02	3
WH40,in,rm401	8
WH40,in,rm402	33
WH40,in,rm403	22
WH40,in,rm404	53
WH40,in,rm405	13
WH40,in,rm406	69
WH40,in,rm407	35
WH40,in,rm409	28
WH40,in,rm410	5
WH40,in,rm410 (The Zebra Lounge)	24
WH40,in,rm411	44
WH40,in,rm412	17
WH40,in,rm413	8
WH40,in,rm414	172
WH40,in,rm415	107
WH40,in,rm418	77
WH40,in,rm420	2
WH40,in,rm423	79
WH40,in,rm425	43
WH40,in,rm427	7
WH40,in,rm429	29
WH40,in,rm431	8
WH40,out,Antelounge	1
WH40,out,eastwing	6
WH40,out,northwing	5
WH40,out,westwing	3
