placename	COUNT(*)
WH10,in,lounge	1
WH10,out,eastwing	1
WH10,out,northwing	2
WH10,out,westwing	1
WH20,in,antelounge	21
WH20,in,lounge	17
WH20,in,Nook	9
WH20,in,north wing	3
WH20,in,rm201	7
WH20,in,rm212	3
WH20,in,rm215	12
WH20,in,rm218	14
WH20,out,westwing	1
WH30,in,antelounge	11
WH30,in,lounge	31
WH30,in,northwing nook	11
WH30,in,rm303	9
WH30,in,rm307	5
WH30,in,rm309	46
WH30,in,rm312	23
WH30,in,rm318	4
WH30,in,rm325	4
WH30,out,northwing	6
WH30,out,rm309	6
WH30,out,westwing	4
WH40,in,antelounge	10
WH40,in,lounge	26
WH40,in,northwing stairwell	1
WH40,in,rm405	3
WH40,in,rm407	13
WH40,in,rm409	8
WH40,in,rm410	2
WH40,in,rm411	14
WH40,in,rm413	8
WH40,in,rm414	50
WH40,in,rm415	14
WH40,in,rm423	27
WH40,in,rm425	4
WH40,in,rm429	18
WH40,out,eastwing	3
WH40,out,northwing	4
WH40,out,westwing	2
