placename	COUNT(*)
WH10,in,lounge	9
WH10,out,eastwing	1
WH10,out,northwing	2
WH10,out,westwing	1
WH20,in,antelounge	21
WH20,in,lounge	17
WH20,in,Nook	9
WH20,in,north wing	7
WH20,in,rm14	3
WH20,in,rm201	8
WH20,in,rm202	1
WH20,in,rm209	1
WH20,in,rm212	3
WH20,in,rm214	3
WH20,in,rm215	13
WH20,in,rm218	16
WH20,out,westwing	1
WH30,in,antelounge	11
WH30,in,lounge	39
WH30,in,northwing nook	11
WH30,in,rm302	1
WH30,in,rm303	12
WH30,in,rm307	5
WH30,in,rm309	46
WH30,in,rm312	24
WH30,in,rm318	4
WH30,in,rm325	4
WH30,out,northwing	6
WH30,out,rm309	7
WH30,out,westwing	4
WH40,in,antelounge	10
WH40,in,lounge	28
WH40,in,northwing stairwell	1
WH40,in,rm02	1
WH40,in,rm402	1
WH40,in,rm405	3
WH40,in,rm407	14
WH40,in,rm409	10
WH40,in,rm410	2
WH40,in,rm411	17
WH40,in,rm413	8
WH40,in,rm414	57
WH40,in,rm415	15
WH40,in,rm423	28
WH40,in,rm425	4
WH40,in,rm429	18
WH40,out,eastwing	3
WH40,out,northwing	4
WH40,out,westwing	2
